Symbol,200 SMA % Difference,beta value,Cluster
AAVE-USD,-18.699768694685368,1.3384541203924738,0.0
BCH-USD,-12.408939260775508,1.4586367187953948,0.0
LTC-USD,-14.187529340177282,1.208937900494741,0.0
DOGE-USD,-16.697229586672822,1.2247403339465794,0.0
DOT-USD,-24.531488737086644,1.285222451593599,0.0
LINK-USD,-21.76932594770863,1.2066177252231696,0.0
USDC-USD,0.002441828248868212,-2.343876234672709e-05,1.0
SHIB-USD,-22.785844895813895,0.23605354955577165,1.0
MKR-USD,-8.591410385221298,0.31151613478152024,1.0
ETH-USD,0.8937687808911107,0.7723653408143407,1.0
BTC-USD,-1.9914780657602285,0.7017945417027143,1.0
USDT-USD,-0.08201484582132383,0.006007375610076659,1.0
CRV-USD,-49.16609436308907,1.4681982675294156,2.0
BAT-USD,-31.45887888393613,1.0813246997960775,2.0
AVAX-USD,-34.548919029689436,1.6594880112262889,2.0
XTZ-USD,-32.27836151910623,1.3903465521738854,2.0
SUSHI-USD,-43.194401117056316,2.2183980510291836,3.0
UNI-USD,-39.60977557985284,2.3221935561354208,3.0
